county,state,labor,employed,unemployed,percent
Autauga,AL,25909,24908,1001,3.9
Baldwin,AL,91567,87915,3652,4
Barbour,AL,8236,7750,486,5.9
Bibb,AL,8506,8133,373,4.4
Blount,AL,24494,23509,985,4
Bullock,AL,4812,4575,237,4.9
Butler,AL,8946,8455,491,5.5
Calhoun,AL,45582,43333,2249,4.9
Chambers,AL,15176,14557,619,4.1
Cherokee,AL,11174,10721,453,4.1
Chilton,AL,19118,18344,774,4
Choctaw,AL,4336,4059,277,6.4
Clarke,AL,7720,7065,655,8.5
Clay,AL,5721,5471,250,4.4
Cleburne,AL,5742,5486,256,4.5
Coffee,AL,20671,19764,907,4.4
Colbert,AL,23092,21889,1203,5.2
Conecuh,AL,4446,4173,273,6.1
Coosa,AL,4348,4147,201,4.6
Covington,AL,15646,14826,820,5.2
Crenshaw,AL,6417,6130,287,4.5
Cullman,AL,37637,36239,1398,3.7
Dale,AL,19868,18987,881,4.4
Dallas,AL,14935,13811,1124,7.5
DeKalb,AL,29038,27734,1304,4.5
Elmore,AL,37236,35880,1356,3.6
Escambia,AL,14352,13630,722,5
Etowah,AL,42894,40932,1962,4.6
Fayette,AL,6529,6220,309,4.7
Franklin,AL,13960,13369,591,4.2
Geneva,AL,10817,10355,462,4.3
Greene,AL,2833,2616,217,7.7
Hale,AL,6007,5653,354,5.9
Henry,AL,6697,6371,326,4.9
Houston,AL,44411,42484,1927,4.3
Jackson,AL,23066,21966,1100,4.8
Jefferson,AL,309076,295970,13106,4.2
Lamar,AL,5703,5462,241,4.2
Lauderdale,AL,41868,39937,1931,4.6
Lawrence,AL,13640,12974,666,4.9
Lee,AL,73520,70643,2877,3.9
Limestone,AL,41092,39457,1635,4
Lowndes,AL,3750,3450,300,8
Macon,AL,7892,7436,456,5.8
Madison,AL,175153,168412,6741,3.8
Marengo,AL,7623,7192,431,5.7
Marion,AL,12517,11918,599,4.8
Marshall,AL,42108,40506,1602,3.8
Mobile,AL,186239,176587,9652,5.2
Monroe,AL,7165,6682,483,6.7
Montgomery,AL,105505,100964,4541,4.3
Morgan,AL,54840,52588,2252,4.1
Perry,AL,3402,3132,270,7.9
Pickens,AL,7783,7371,412,5.3
Pike,AL,15238,14495,743,4.9
Randolph,AL,9373,8961,412,4.4
Russell,AL,23457,22449,1008,4.3
St. Clair,AL,38946,37400,1546,4
Shelby,AL,109331,105804,3527,3.2
Sumter,AL,5016,4688,328,6.5
Talladega,AL,34501,32789,1712,5
Tallapoosa,AL,18279,17519,760,4.2
Tuscaloosa,AL,99237,95127,4110,4.1
Walker,AL,25145,23883,1262,5
Washington,AL,6656,6201,455,6.8
Wilcox,AL,2808,2488,320,11.4
Winston,AL,9646,9164,482,5
Aleutians East,AK,2584,2519,65,2.5
