state,pop,code
California,39250017,CA
Texas,27862596,TX
Florida,20612439,FL
New York,19745289,NY
Illinois,12801539,IL
Pennsylvania,12784227,PA
Ohio,11646273,OH
Georgia,10310371,GA
North Carolina,10146788,NC
Michigan,9928300,MI
New Jersey,8944469,NJ
Virginia,8411808,VA
Washington,7288e3,WA
Arizona,6931071,AZ
Massachusetts,6811779,MA
Tennessee,6651194,TN
Indiana,6633053,IN
Missouri,6093e3,MO
Maryland,6016447,MD
Wisconsin,5778708,WI
Colorado,5540545,CO
Minnesota,5519952,MN
South Carolina,4961119,SC
Alabama,4863300,AL
Louisiana,4681666,LA
Kentucky,4436974,KY
Oregon,4093465,OR
Oklahoma,3923561,OK
Connecticut,3576452,CT
Iowa,3134693,IA
Utah,3051217,UT
Mississippi,2988726,MS
Arkansas,2988248,AR
Nevada,2940058,NV
Kansas,2907289,KS
New Mexico,2081015,NM
Nebraska,1907116,NE
West Virginia,1831102,WV
Idaho,1683140,ID
Hawaii,1428557,HI
New Hampshire,1334795,NH
Maine,1331479,ME
Rhode Island,1056426,RI
Montana,1042520,MT
Delaware,952065,DE
South Dakota,865454,SD
North Dakota,757952,ND
Alaska,741894,AK
District of Columbia,681170,DC
Vermont,624594,VT
Wyoming,585501,WY
