Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Type,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle Body Type,Vehicle Movement,Latitude,Longitude,Location
MCP2077000Z,15063285,Montgomery County Police,Property Damage Crash,12/11/2015 07:39:00 AM,County,RANDOLPH RD,Maryland (State),VEIRS MILL RD,,N/A,,SAME DIR REAR END,N/A,DRY,DAYLIGHT,N/A,NONE DETECTED,,A6C3B9B2-57F6-48A0-9112-110EEC2DB8BF,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,EF3ABA0A-5BC0-48C5-A753-A92679EA0069,SUPERFICIAL,PASSENGER CAR,SLOWING OR STOPPING,39.057507,-77.07907,"(39.057507, -77.07907)"
MCP2723001N,16027050,Montgomery County Police,Property Damage Crash,05/31/2016 11:03:00 AM,Maryland (State),GEORGIA AVE,County,EMORY LA,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,N/A,,9A45DABB-A577-4F9F-BB57-CFE5E352AE40,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,1C743E0D-1F93-48BF-A6F4-17005EF41460,DISABLING,PASSENGER CAR,STOPPED IN TRAFFIC LANE,39.12619016,-77.07230508,"(39.12619016, -77.07230508)"
MCP2549004Z,16032508,Montgomery County Police,Property Damage Crash,06/27/2016 12:28:00 PM,Maryland (State),WISCONSIN AVE,County,WISCONSIN CIR,,N/A,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,N/A,NONE DETECTED,,8EDAC67D-D729-4113-98C4-5303C3839353,Yes,NO APPARENT INJURY,N/A,DISTRACTED BY OUTSIDE PERSON OBJECT OR EVENT,DC,7CA91E41-EBFC-4535-9B33-5420F2B25822,SUPERFICIAL,PASSENGER CAR,MOVING CONSTANT SPEED,38.96175167,-77.08605667,"(38.96175167, -77.08605667)"
MCP2954001Y,16032884,Montgomery County Police,Injury Crash,06/29/2016 12:48:00 PM,County,CHERRY HILL RD,County,PLUM ORCHARD DR,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,BAA52CC0-4209-402C-9436-BA8A15A1F71B,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,C268EF3B-5FE4-45CA-B73B-3DC2ADF94582,SUPERFICIAL,PASSENGER CAR,MAKING LEFT TURN,39.04879391,-76.9523406,"(39.04879391, -76.9523406)"
DD5614000T,16032242,Rockville Police Departme,Property Damage Crash,06/25/2016 08:40:00 PM,Maryland (State),ROCKVILLE PIKE,Unknown,CROSSOVER,,N/A,,SAME DIR REAR END,CLEAR,DRY,DUSK,NO CONTROLS,NONE DETECTED,,181C0680-2A4F-486A-94BA-35D88C05E2E2,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,6A3719C1-B85E-4913-933D-6CC126CF42CD,FUNCTIONAL,PASSENGER CAR,SLOWING OR STOPPING,39.06752,-77.12866667,"(39.06752, -77.12866667)"
DD5523000C,17002534,Rockville Police Departme,Property Damage Crash,01/15/2017 01:10:00 AM,Maryland (State),ROCKVILLE PIKE,Municipality,EDMONSTON DR,,ROCKVILLE,,HEAD ON LEFT TURN,N/A,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,AAA8F5FA-2462-4B0D-B432-07DCFA100B17,No,NO APPARENT INJURY,"N/A, WET",NOT DISTRACTED,MD,56E42068-3E34-46B5-B5B7-362651841AFE,DESTROYED,PASSENGER CAR,MOVING CONSTANT SPEED,39.074565,-77.13537833,"(39.074565, -77.13537833)"
MCP2877002Y,16057081,Montgomery County Police,Property Damage Crash,11/05/2016 11:01:00 AM,US (State),GEORGIA AVE,County,KING ST,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,92CB11AB-E4CC-43FF-846A-A5E5EABCB11D,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,DC,1D82FD03-4F09-48E7-9801-033747A2820F,FUNCTIONAL,PASSENGER CAR,MAKING LEFT TURN,38.98656833,-77.02712,"(38.98656833, -77.02712)"
MCP3045000R,170524279,Montgomery County Police,Property Damage Crash,08/11/2017 08:53:00 AM,,,,,BUDGET CAR RENTAL PARKING LOT,,,SINGLE VEHICLE,CLEAR,,DAYLIGHT,NO CONTROLS,N/A,,2BE6B58E-7AE0-4E1E-8ACE-1FC8B464E92B,Yes,NO APPARENT INJURY,N/A,INATTENTIVE OR LOST IN THOUGHT,MN,201E2786-EECD-4B9F-8059-0188C8BE6AF7,SUPERFICIAL,PASSENGER CAR,DRIVERLESS MOVING VEH.,39.0260269,-77.14498758,"(39.0260269, -77.14498758)"
DD5615001W,16024820,Rockville Police Departme,Property Damage Crash,05/19/2016 08:31:00 AM,Maryland (State),NORBECK RD,Municipality,AVERY RD,,ROCKVILLE,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,7CD2D470-B093-41E3-828D-ABB63B7CA5B3,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,VA,3C09F6B3-A445-4EE1-9840-88DC200B873D,DISABLING,PASSENGER CAR,MOVING CONSTANT SPEED,39.09212333,-77.12464167,"(39.09212333, -77.12464167)"
MCP28780024,16051024,Montgomery County Police,Property Damage Crash,10/04/2016 07:06:00 PM,County,BRINK RD,Maryland (State),RIDGE RD,,N/A,,SAME DIR REAR END,N/A,DRY,DUSK,TRAFFIC SIGNAL,NONE DETECTED,,0220EC99-63E6-41C3-B4F3-57973BDB6FB6,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,A48F582F-6576-4E40-B777-05A8B5D7D6CA,DISABLING,PASSENGER CAR,N/A,39.21020667,-77.23889167,"(39.21020667, -77.23889167)"
